字段,数据库字段,说明,来源别名/规则
债权人,creditor,持有或公告主张债权的主体,"X持有Y结构中的X部分；X与Y结构中的Y部分；公告发布方；原债权人"
主债务人,primary_debtor,借款人、客户名称或单户债权对应债务人,"借款人；客户名称；单户债权标题中的企业名称"
借款金额,loan_amount,原始借款/贷款/发放金额，统一为数字加元,"贷款金额；本金总额；借款本金；贷款本金；借款额；初始本金"
本金余额,principal_balance,剩余本金、接收时本金或结欠本金，统一为数字加元,"剩余本金；接收时本金；结欠本金；本金余额"
保证人,guarantor,担保人名称或担保方；若含抵押人/出质人，以括号保留角色标注,"担保人；担保方；担保人名称"
抵押物,mortgage,具体抵押财产或权利描述,"抵押物详情；抵押财产；抵押资产"
质押物,pledge,具体质押财产或权利描述,"质押物详情；质押财产；质押资产"
贷款日,loan_date,贷款发放日或借款日，标准化为YYYY-MM-DD,"贷款发放日；借款日"
到期日,due_date,最后还款日或到期日，标准化为YYYY-MM-DD,"最后还款日；到期日"
诉讼状态,litigation_status,案件状态、执行状态或债权状态,"案件状态；执行状态；债权状态；诉讼；执行；判决；调解"
受让方,assignee,接收方、买受人、购买方或债权受让主体,"接收方；受让人；买受人；购买方"
转让方,transferor,出让方、委托方、委托人、出包方或原债权转让主体,"出让方；委托方；委托人；出包方；原债权人"
